name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,168,17809198,,,,,,,2.3703376,48.8740377,,,
,169,398788,,,,,,,2.332342,48.871156,,,
Opéra,170,2051848056,,,,,,,2.3321157,48.8711145,,,
,171,25581149,,,,,,,2.3414879,48.8656787,,,
,172,8707891044,,,,,,,2.3425634,48.8654145,,,
,173,8547341737,,,,,,,2.343086,48.8652925,,,
,174,500468290,,,,,,,2.3114414,48.8538564,,,
,175,94260216,,,,,,,2.3122123,48.8538201,,,
,176,94263090,,,,,,,2.312668,48.8537961,,,
,177,361117,,,,,,,2.3295353,48.8846897,,,
,178,272678705,,,,,,,2.3292901,48.8853648,,,
,179,17809572,,,,,,,2.3528322,48.8406252,,,
,180,7049850590,,,,,,,2.3520699,48.840805,,,
,181,25934280,,,,,,,2.3103195,48.8690758,,,
,182,6620531012,,,,,,,2.3104087,48.8691238,,,
,183,1534591769,crossing,,,,,,2.3104629,48.8691529,,,
,184,8187832965,,,,,,,2.2994275,48.8783566,,,
,185,6213150081,traffic_signals,,signal,,,,2.300823,48.8786534,,,
Place de la République de l’Équateur,186,31960431,,,,,,,2.3031146,48.8791465,,,
,187,368337,traffic_signals,,signal,,,,2.3049796,48.879549,,,
,188,390306,traffic_signals,,signal,,,,2.3774063,48.8462793,,,
,189,1496777712,traffic_signals,,signal,,,,2.3776962,48.8461432,,,
,190,257713154,,,,,,,2.3794641,48.8452847,,,
,191,330217381,,,,,,,2.3801441,48.8449532,,,
,192,360980,,,,,,,2.3092306,48.8335638,,,
,193,5700649832,traffic_signals,,signal,,,,2.3091717,48.8335812,,,
,194,5700649831,traffic_signals,,signal,,,,2.3090578,48.8336142,,,
,195,5700619789,,,,,,,2.3090052,48.8336301,,,
,196,1142990059,,,,,,,2.3635401,48.8423212,,,
,197,411736456,,,,,,,2.3636763,48.8422768,,,
,198,15860566,,,,,,,2.3638149,48.8422297,,,
,199,11070910848,traffic_signals,,signal,,,,2.3443424,48.8537719,,,
,200,6220939835,,,,,,,2.3443857,48.8538084,,,
,201,361086,,,,,,,2.3655855,48.8669672,,,
,202,710907215,traffic_signals,,signal,,,,2.3657352,48.8669382,,,
,203,2250943366,,,,,,,2.3667964,48.8667352,,,
,204,256587669,,,,,,,2.3673384,48.8666302,,,
"Paris, Avenue de la Republique",205,6482772841,,,,,,,2.3677044,48.8665593,,,
,206,15859501,,,,,,,2.3719032,48.8366689,,,
,207,6092452278,,,,,,,2.3718708,48.8366968,,,
,208,15860538,,,,,,,2.3714536,48.8372975,,,
,209,15378805,,,,,,,2.3868148,48.8409492,,,
,210,15378802,,,,,,,2.3866216,48.8404351,,,
,211,21378256,,,,,,,2.3048155,48.853842,,,
,212,3772612379,,,,,,,2.3045207,48.8540286,,,
,213,8005634817,,,,,,,2.3044965,48.8540441,,,
,214,3732221776,,,,,,,2.304399,48.8541063,,,
,215,36487395,,,,,,,2.3031055,48.8549317,,,
,216,14956517,,,,,,,2.377543,48.8310681,,,
,217,6807716517,,,,,,,2.3775029,48.8310992,,,
,218,9019374176,,,,,,,2.376831,48.8316446,,,
,219,14956513,,,,,,,2.3766261,48.8318033,,,
,220,11070910846,,,,,,,2.3442822,48.853785,,,
,221,6018439807,traffic_signals,,signal,,,,2.3770084,48.8721037,,,
,222,667940546,,,,,,,2.3760808,48.8729658,,,
,223,1747018254,,,,,,,2.3754032,48.8735761,,,
,224,94151884,,,,,,,2.3751651,48.8737871,,,
,225,6203408676,,,,,,,2.3750805,48.8738618,,,
,226,5686907269,,,,,,,2.3744301,48.8744357,,,
,227,1411346001,,,,,,,2.3744065,48.8744573,,,
,228,5982508852,,,,,,,2.373726,48.8750494,,,
,229,96151090,,,,,,,2.3735899,48.8751762,,,
,230,361031,traffic_signals,,signal,,,,2.365556,48.8474791,,,
,231,4954755827,,,,,,,2.3653966,48.8475483,,,
,232,26588382,,,,,,,2.3651058,48.8477756,,,
,233,26588378,traffic_signals,,signal,,,,2.3649113,48.8482577,,,
,234,6532198445,,,,,,,2.3645107,48.8489353,,,
,235,26588374,traffic_signals,,signal,,,,2.3644743,48.8489914,,,
,236,26588359,traffic_signals,,signal,,,,2.363907,48.8496314,,,
,237,214843853,traffic_signals,,signal,,,,2.3629103,48.8504375,,,
,238,5088842630,,,,,,,2.3622903,48.8509478,,,
,239,25671388,traffic_signals,,signal,,,,2.3622851,48.8510567,,,
,240,2705349640,crossing,,,,,,2.3095122,48.8535257,,,
,241,2705349664,crossing,,,,,,2.3095251,48.8538216,,,
,242,1142990090,traffic_signals,,signal,,,,2.3518495,48.836787,,,
,243,21292412,traffic_signals,,signal,,,,2.3511666,48.8365716,,,
,244,16820924,,,,,,,2.3277692,48.8478991,,,
,245,4090974130,traffic_signals,,signal,,,,2.3278975,48.8474458,,,
,246,24959161,,,,,,,2.3279262,48.8473465,,,
,247,24959172,traffic_signals,,signal,,,,2.3281221,48.8466856,,,
,248,27018633,traffic_signals,,signal,,,,2.3284628,48.8455051,,,
,249,25256318,traffic_signals,,signal,,,,2.3285445,48.8451968,,,
,250,367912778,,,,,,,2.3851872,48.8494183,,,
,251,10280453417,,,,,,,2.3847558,48.8500185,,,
,252,15859494,,,,,,,2.3700273,48.8389234,,,
,253,11070905739,,,,,,,2.3706926,48.8390654,,,
,254,15860541,,,,,,,2.3716924,48.8383778,,,
,255,470146,,,,,,,2.3332665,48.8582658,,,
,256,968748864,,,,,,,2.3332211,48.8582115,,,
,257,1835516159,traffic_signals,,signal,,,,2.3495151,48.8836104,,,
,258,19405751,traffic_signals,,signal,,,,2.3512804,48.8837384,,,
,259,4271206533,,,,,,,2.3531981,48.8838802,,,
,260,470142,,,,,,,2.3404015,48.8561313,,,
,261,25188950,,,,,,,2.3399176,48.8564302,,,
,262,94185764,traffic_signals,,signal,,,,2.3647795,48.8844689,,,
,263,6695173156,,,,,,,2.3647096,48.8844721,,,
,264,1035711019,,,,,,,2.3642079,48.8845021,,,
,265,367940,,,,,,,2.3633835,48.8845067,,,
,266,24972336,,,,,,,2.3404595,48.8488966,,,
,267,2458000926,traffic_signals,,signal,,,,2.341538,48.8488503,,,
,268,10912896039,,,,,,,2.3416798,48.8488427,,,
,269,470130,,,,,,,2.3417553,48.8488358,,,
,270,15378810,,,,,,,2.3922087,48.8349481,,,
,271,10916046099,traffic_signals,,signal,,,,2.3901195,48.8369497,,,
,272,10916046098,,,,,,,2.3900187,48.8370497,,,
,273,21305940,,,,,,,2.3517222,48.8517978,,,
,274,235196233,crossing,,,,,,2.352214,48.8525868,,,
