name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1947,41653781,turning_circle,,,,,,-111.9497272,33.3566503,,,
,1948,41653784,,,,,,,-111.9246828,33.3609551,,,
,1949,5822074196,,,,,,,-111.9176121,33.4169322,,,
,1950,3641512633,,,,,,,-111.9165031,33.4169307,,,
,1951,41654663,,,,,,,-111.9138914,33.4169249,,,
,1952,5618864562,,,,,,,-111.9134056,33.4170672,,,
,1953,41654666,stop,,,,,,-111.9128676,33.41707,,,
,1954,5618864560,,,,,,,-111.9123254,33.4170689,,,
,1955,41654668,stop,,,,,,-111.911792,33.4170678,,,
,1956,5671477685,,,,,,,-111.8995474,33.4158061,,,
,1957,8322444030,,,,,,,-111.8979368,33.4158069,,,
,1958,41654670,,,,,,,-111.8962099,33.4158104,,,
,1959,7462585668,,,,,,,-111.8952182,33.4158095,,,
,1960,41654672,,,,,,,-111.8940681,33.4158181,,,
,1961,41638532,,,,,,,-111.9091114,33.4168439,,,
,1962,3590609564,,,,,,,-111.9076465,33.4168535,,,
,1963,8459728071,,,,,,,-111.9074153,33.416855,,,
,1964,41654686,,,,,,,-111.9073356,33.4168555,,,
,1965,41655007,,,,,,,-111.9321425,33.343865,,,
,1966,41655011,,,,,,,-111.9331382,33.3433989,,,
,1967,41655021,turning_circle,,,,,,-111.9356616,33.3429616,,,
,1968,41655024,turning_circle,,,,,,-111.9291728,33.343105,,,
,1969,41655026,,,,,,,-111.9303487,33.3430978,,,
,1970,41655028,turning_circle,,,,,,-111.9318507,33.3430906,,,
,1971,41655032,,,,,,,-111.9275567,33.3430873,,,
,1972,41573897,,,,,,,-111.9286141,33.3655811,,,
,1973,7121715661,,,,,,,-111.9278799,33.3655811,,,
,1974,41655965,,,,,,,-111.9273781,33.3655811,,,
,1975,41655967,,,,,,,-111.9264426,33.3655811,,,
,1976,41655969,,,,,,,-111.9253525,33.3655811,,,
,1977,41655971,turning_circle,,,,,,-111.9248118,33.365574,,,
,1978,41655975,turning_circle,,,,,,-111.9324827,33.365809,,,
,1979,41655977,,,,,,,-111.9307747,33.3658018,,,
,1980,41655979,,,,,,,-111.919929,33.3653813,,,
,1981,3839898785,,,,,,,-111.9189444,33.3653828,,,
,1982,41655980,,,,,,,-111.9170269,33.3653876,,,
,1983,41655981,,,,,,,-111.9146423,33.3650847,,,
,1984,41655982,,,,,,,-111.9141945,33.3654019,,,
,1985,3839898797,,,,,,,-111.9137611,33.3655526,,,
,1986,41655983,,,,,,,-111.9133191,33.3656026,,,
,1987,5716490318,,,,,,,-111.9127091,33.3655978,,,
,1988,7051216109,,,,,,,-111.9119453,33.3655916,,,
,1989,41638591,,,,,,,-111.9112424,33.365586,,,
,1990,5652733182,,,,,,,-111.9105024,33.3655438,,,
,1991,320993938,,,,,,,-111.9101352,33.3654498,,,
,1992,5716491434,,,,,,,-111.9099068,33.3653931,,,
,1993,5652733169,,,,,,,-111.9093423,33.3653598,,,
,1994,41655984,,,,,,,-111.9087791,33.3654856,,,
,1995,41655988,,,,,,,-111.9066591,33.3658011,,,
,1996,41655990,,,,,,,-111.9032602,33.3674928,,,
,1997,41655994,,,,,,,-111.9017067,33.3659659,,,
,1998,41655996,,,,,,,-111.897609,33.365982,,,
,1999,41656065,,,,,,,-111.9361766,33.3356619,,,
,2000,3845977259,,,,,,,-111.936484,33.335372,,,
,2001,41656824,,,,,,,-111.9334128,33.3441518,,,
,2002,41656825,,,,,,,-111.9346059,33.3439295,,,
,2003,41656832,,,,,,,-111.935682,33.3439108,,,
,2004,41656838,,,,,,,-111.9371257,33.3440533,,,
,2005,41573850,,,,,,,-111.9284644,33.344385,,,
,2006,41656841,,,,,,,-111.9291814,33.3443884,,,
,2007,41656843,,,,,,,-111.9303487,33.3443884,,,
,2008,41656876,turning_circle,,,,,,-111.9275481,33.3438545,,,
,2009,41656935,,,,,,,-111.9503069,33.3491623,,,
,2010,3940273401,,,,,,,-111.9503067,33.3492418,,,
,2011,7976943455,,,,,,,-111.950305,33.3496552,,,
,2012,5755737012,,,,,,,-111.9503054,33.3499038,,,
,2013,5098117593,,,,,,,-111.9503047,33.3502862,,,
,2014,5668107314,,,,,,,-111.9503033,33.3509873,,,
,2015,41656937,turning_circle,,,,,,-111.950303,33.3511641,,,
,2016,41656987,,,,,,,-111.9141221,33.3812758,,,
,2017,41656989,,,,,,,-111.9138363,33.3801231,,,
,2018,41656991,,,,,,,-111.9138179,33.3797892,,,
,2019,321282073,,,,,,,-111.9138179,33.3794594,,,
,2020,5031575730,,,,,,,-111.9138131,33.3791789,,,
,2021,5031575733,,,,,,,-111.9138098,33.3789871,,,
,2022,41656993,,,,,,,-111.913808,33.3788797,,,
,2023,41602555,,,,,,,-111.9137912,33.3783946,,,
,2024,330683976,traffic_signals,,signal,,,,-111.912472,33.4146766,,,
,2025,6800080827,,,,,,,-111.912471,33.4143321,,,
,2026,3756594479,,,,,,,-111.9124702,33.4140556,,,
,2027,9423610432,,,,,,,-111.912469,33.4135981,,,
,2028,41657012,turning_circle,,,,,,-111.9159746,33.3669946,,,
,2029,3839898819,,,,,,,-111.9159772,33.3665797,,,
,2030,3839898817,,,,,,,-111.9170225,33.3657921,,,
,2031,41657014,turning_circle,,,,,,-111.9167722,33.3533579,,,
,2032,3844433993,,,,,,,-111.9168461,33.3537141,,,
,2033,41657015,,,,,,,-111.9168495,33.3537307,,,
,2034,41657016,,,,,,,-111.9169611,33.354082,,,
