name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,279,41498717,,,,,,,-111.9760148,33.3927593,,,
,280,41498723,turning_circle,,,,,,-111.9771986,33.386011,,,
,281,41498726,,,,,,,-111.9772159,33.3854778,,,
,282,41499030,,,,,,,-111.97566,33.3673619,,,
,283,41499032,,,,,,,-111.9747613,33.3673852,,,
,284,41499135,turning_circle,,,,,,-111.9765893,33.3550302,,,
,285,41499140,,,,,,,-111.9765596,33.3543637,,,
,286,41499142,,,,,,,-111.976547,33.3528378,,,
,287,41499146,,,,,,,-111.9765425,33.3521528,,,
,288,41499148,,,,,,,-111.9765357,33.3511144,,,
,289,41499150,turning_circle,,,,,,-111.9767095,33.3501726,,,
,290,41499156,,,,,,,-111.9768757,33.3573361,,,
,291,41499162,turning_circle,,,,,,-111.977291,33.3494857,,,
,292,41499166,,,,,,,-111.9772592,33.349049,,,
,293,41499649,,,,,,,-111.9292703,33.399185,,,
,294,41499650,,,,,,,-111.9297081,33.3984613,,,
,295,41500278,,,,,,,-111.9778661,33.3571139,,,
,296,41500283,,,,,,,-111.9771452,33.3569512,,,
,297,41500284,,,,,,,-111.9767799,33.3570246,,,
,298,41500287,,,,,,,-111.9763343,33.3571056,,,
,299,41500314,,,,,,,-111.979514,33.3584904,,,
,300,41500320,,,,,,,-111.9781524,33.3596687,,,
,301,41500382,traffic_signals,,signal,,,,-111.904759,33.4291809,44,,
,302,41500384,,,,,,,-111.9047458,33.4274141,,,
,303,41500385,,,,,,,-111.9047491,33.4256236,,,
,304,41500387,,,,,,,-111.9047769,33.4249762,,,
,305,41501498,traffic_signals,,signal,,,,-111.970925,33.3643645,26,,
,306,41501499,,,,,,,-111.9692797,33.3639214,,,
,307,41501512,,,,,,,-111.9653324,33.3637012,,,
,308,41501515,,,,,,,-111.9642661,33.3637082,,,
,309,41501516,traffic_signals,,signal,,,,-111.963127,33.3637464,,,
,310,41501518,,,,,,,-111.9618321,33.3637425,,,
,311,41501520,,,,,,,-111.9608159,33.3637395,,,
,312,41501526,,,,,,,-111.9597995,33.3637364,,,
,313,41501529,,,,,,,-111.9581803,33.3637316,,,
,314,41501531,,,,,,,-111.9567072,33.3637158,,,
,315,41501538,,,,,,,-111.937678,33.3637065,,,
,316,41501539,,,,,,,-111.9366203,33.3637202,,,
,317,41501541,,,,,,,-111.9357315,33.3637227,,,
,318,41501544,,,,,,,-111.9337761,33.3637356,,,
,319,41501547,,,,,,,-111.9333762,33.3637354,,,
,320,41501549,,,,,,,-111.9324673,33.3637389,,,
,321,41501551,,,,,,,-111.9316081,33.3637412,,,
,322,41501553,,,,,,,-111.9307669,33.3637435,,,
,323,41501559,traffic_signals,,signal,,,,-111.9286104,33.3637608,,,
,324,41501567,,,,,,,-111.9219277,33.3637652,,,
,325,41501573,traffic_signals,,signal,,,,-111.919921,33.363768,,,
,326,41501575,,,,,,,-111.9182713,33.3637724,,,
,327,41501582,,,,,,,-111.9150011,33.3637652,,,
,328,41501587,traffic_signals,,signal,,,,-111.911233,33.3637652,,,
,329,41501589,,,,,,,-111.9066417,33.3637878,,,
,330,41501594,traffic_signals,,signal,,,,-111.9026145,33.3638064,,,
,331,41501595,,,,,,,-111.9009026,33.3638087,,,
,332,41501599,,,,,,,-111.897602,33.3638249,,,
,333,41501600,,,,,,,-111.8965955,33.3638323,,,
,334,41501605,,,,,,,-111.894608,33.3638687,,,
,335,41501803,,,,,,,-111.897297,33.409946,,,
,336,41501805,,,,,,,-111.8966308,33.4106718,,,
,337,41501902,,,,,,,-111.9338794,33.3969636,,,
,338,41501904,turning_circle,,,,,,-111.9338794,33.3971858,,,
,339,41502100,,,,,,,-111.9514266,33.3591236,,,
,340,41502124,,,,,,,-111.9478218,33.3588296,,,
,341,41502140,,,,,,,-111.9461481,33.3586576,,,
,342,41502164,turning_circle,,,,,,-111.955701,33.3597616,,,
,343,41502170,,,,,,,-111.9551431,33.359482,,,
,344,41502176,,,,,,,-111.9545259,33.3591902,,,
,345,41502179,,,,,,,-111.9538385,33.3591164,,,
,346,41502180,,,,,,,-111.9527762,33.3591109,,,
,347,41502191,,,,,,,-111.9402963,33.3594446,,,
,348,41502194,turning_circle,,,,,,-111.9422919,33.3591121,,,
,349,41502517,,,,,,,-111.9300315,33.4364506,,,
,350,41502715,turning_circle,,,,,,-111.9153258,33.336433,,,
,351,41502716,turning_circle,,,,,,-111.9175917,33.3364617,,,
,352,41502720,turning_circle,,,,,,-111.908992,33.3366389,,,
,353,41502726,,,,,,,-111.9080089,33.3366413,,,
,354,41502743,,,,,,,-111.93555,33.3360635,,,
,355,41502745,turning_circle,,,,,,-111.9344848,33.3360653,,,
,356,41502750,,,,,,,-111.9032997,33.3364301,,,
,357,41502753,turning_circle,,,,,,-111.9029125,33.3361649,,,
,358,41503102,,,,,,,-111.9631399,33.3697584,,,
,359,41503104,,,,,,,-111.961468,33.3697654,,,
,360,41503107,,,,,,,-111.9609702,33.3697654,,,
,361,41503113,,,,,,,-111.9598114,33.3697582,,,
,362,41503115,,,,,,,-111.9585326,33.3697654,,,
,363,41503123,,,,,,,-111.9670561,33.3700457,,,
,364,41503129,,,,,,,-111.9642769,33.3700236,,,
,365,41503132,,,,,,,-111.9631345,33.3699824,,,
,366,41503324,,,,,,,-111.9732205,33.3300963,,,
,367,41503327,,,,,,,-111.9757962,33.3300991,,,
,368,41503357,,,,,,,-111.9404259,33.3414061,,,
,369,41503372,,,,,,,-111.9381764,33.3414128,,,
,370,41503375,turning_circle,,,,,,-111.9375917,33.3414089,,,
,371,41503381,turning_circle,,,,,,-111.9450949,33.3415297,,,
,372,41503383,,,,,,,-111.9439638,33.341537,,,
,373,41503385,,,,,,,-111.9435274,33.3415367,,,
,374,41503388,turning_circle,,,,,,-111.9410064,33.3414287,,,
,375,41506543,,,,,,,-111.9200409,33.3929473,,,
,376,41506544,turning_circle,,,,,,-111.9200401,33.3920789,,,
,377,41507044,turning_circle,,,,,,-111.9097919,33.3716574,,,
,378,41507045,turning_circle,,,,,,-111.9057807,33.3716764,,,
,379,41507053,,,,,,,-111.8996647,33.3717153,,,
,380,41507054,,,,,,,-111.8969165,33.371679,,,
,381,41507057,,,,,,,-111.8940807,33.371673,,,
,382,41507062,turning_circle,,,,,,-111.9310579,33.3714001,,,
,383,41507064,turning_circle,,,,,,-111.9293105,33.3714154,,,
,384,41507069,turning_circle,,,,,,-111.9048395,33.3716861,,,
,385,41507071,,,,,,,-111.9031915,33.3716718,,,
,386,41508980,,,,,,,-111.9514312,33.4138249,,,
,387,41508985,,,,,,,-111.9504439,33.412142,,,
,388,41508989,,,,,,,-111.9508833,33.4098348,,,
,389,41508992,turning_circle,,,,,,-111.9527914,33.3613746,,,
,390,41508999,,,,,,,-111.9527999,33.3607222,,,
,391,41509001,,,,,,,-111.9527914,33.3598763,,,
,392,41509007,turning_circle,,,,,,-111.9493933,33.4131322,,,
,393,41509009,,,,,,,-111.9498821,33.4127195,,,
,394,41510575,,,,,,,-111.955165,33.3662473,,,
,395,41510578,,,,,,,-111.9545682,33.3662216,,,
,396,41510999,,,,,,,-111.9741014,33.3438419,,,
,397,41511003,,,,,,,-111.9746164,33.3438682,,,
,398,41511586,,,,,,,-111.941339,33.3483852,,,
,399,41511588,,,,,,,-111.9399102,33.3485542,,,
,400,41514026,,,,,,,-111.9230436,33.3605172,,,
,401,41514028,turning_circle,,,,,,-111.9230435,33.360783,,,
,402,41516685,,,,,,,-111.9734792,33.3923261,,,
,403,41516686,,,,,,,-111.9754671,33.3923214,,,
,404,41517309,,,,,,,-111.9262877,33.4312176,,,
,405,41519655,,,,,,,-111.9164752,33.4034487,,,
,406,41519658,turning_circle,,,,,,-111.9165352,33.4038858,,,
,407,41520471,,,,,,,-111.9107937,33.4014114,,,
,408,41520472,,,,,,,-111.9097286,33.4010251,,,
,409,41520478,,,,,,,-111.9129226,33.4001476,,,
,410,41520480,turning_circle,,,,,,-111.9117039,33.4004152,,,
,411,41520484,,,,,,,-111.9475516,33.3717362,,,
,412,41520487,,,,,,,-111.9477162,33.370461,,,
,413,41520491,,,,,,,-111.9477321,33.3696695,,,
,414,41520494,,,,,,,-111.9477082,33.3688422,,,
,415,41520498,,,,,,,-111.9477081,33.3680054,,,
,416,41520505,,,,,,,-111.944268,33.4307934,,,
,417,41520506,,,,,,,-111.9442567,33.4295155,,,
,418,41520509,,,,,,,-111.9443252,33.4291446,,,
